time,value
0.0,0.0
0.01001,312.64367816091954
0.02002,548.9655172413793
0.03003,543.448275862069
0.04004,582.9885057471264
0.05005,848.735632183908
0.06006,1114.4827586206895
0.07007,1893.3333333333333
0.08008,2695.1724137931033
0.09009,2895.632183908046
0.10026,2128.735632183908
0.11026,2101.1494252873563
0.12026,3213.793103448276
0.13026,4670.3448275862065
0.14026,6628.9655172413795
0.15026,8435.862068965516
0.16026,10297.011494252873
0.17026,9835.402298850575
0.18026,7702.068965517241
0.19026,6115.862068965517
0.20026,6422.068965517241
0.21026,8978.3908045977
0.22026,10214.252873563219
0.23026,9588.045977011494
0.24026,8378.850574712644
0.250266,7913.563218390805
0.260267,7846.436781609195
0.270267,8636.32183908046
0.280282,9311.264367816091
0.29029,9038.160919540229
0.300297,8391.724137931034
0.310307,8304.367816091954
0.320317,8722.758620689656
0.330327,8820.229885057472
0.340337,8277.701149425287
0.350347,7909.885057471264
0.360357,8575.632183908046
0.370367,9317.701149425287
0.380377,8913.103448275862
0.390387,8011.0344827586205
0.400397,7691.0344827586205
0.410407,8285.977011494253
0.420417,8893.793103448275
0.430427,8817.471264367816
0.440437,8546.206896551725
0.450447,8216.091954022988
0.460456,7966.896551724138
0.470466,8322.758620689656
0.480476,8550.80459770115
0.490486,8497.471264367816
0.500496,8377.931034482759
0.510506,8401.83908045977
0.520516,8531.494252873563
0.530526,8241.83908045977
0.540536,8187.586206896552
0.550546,8266.666666666666
0.560556,8478.160919540229
0.570566,8633.563218390804
0.580576,8431.264367816091
0.590586,8081.83908045977
0.600596,8104.827586206897
0.610606,8208.735632183909
0.620616,8560.919540229885
0.630626,8451.494252873563
0.640636,8301.6091954023
0.650646,8121.379310344828
0.660656,8034.022988505747
0.670666,8173.793103448275
0.680676,8468.965517241379
0.690686,8312.643678160919
0.700696,8332.87356321839
0.710706,8255.632183908046
0.720716,8210.574712643678
0.730726,8072.643678160919
0.740736,8351.264367816091
0.750746,8241.83908045977
0.760756,8243.67816091954
0.770766,8019.310344827586
0.780776,8225.287356321838
0.790786,8238.16091954023
0.800796,8149.885057471264
0.810806,8138.850574712644
0.820816,8274.942528735632
0.830826,8221.6091954023
0.840836,8290.574712643678
0.850846,8185.747126436781
0.860856,8211.494252873563
0.870866,8137.0114942528735
0.880876,8307.12643678161
0.890886,8190.3448275862065
0.900896,8286.896551724138
0.910906,8022.068965517241
0.920919,8201.379310344828
0.930929,8305.287356321838
0.940939,8255.632183908046
0.950949,8235.402298850575
